Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1985,19,Steve Harris,0,196,88,3818,904,1649,0,0,460,543,0,428,0,271,28,264,236,2272,0,0
1985,20,Sam Vincent,0,188,84,3864,685,1394,5,11,476,593,0,331,0,159,18,281,298,1851,0,0
1985,21,Terry Catledge,0,203,100,2981,721,1296,0,0,424,640,0,932,0,94,56,184,185,1866,0,0
1985,22,Jerry Reynolds,0,203,91,2590,416,798,0,0,237,407,0,613,0,194,53,172,258,1069,0,0
1985,23,A.C. Green,1,206,100,4052,612,1017,0,0,470,675,0,880,185,123,38,287,265,1694,1,1
1985,24,Terry Porter,1,190,88,3304,638,1083,0,0,309,388,0,450,440,171,31,208,244,1585,1,1
1985,25,Mike Smrek,0,213,113,2512,398,688,0,0,187,310,0,566,0,32,172,230,338,983,0,0
1985,26,Bill Martin,0,201,93,3332,508,979,0,0,293,425,0,740,0,106,36,210,283,1309,0,0
1985,27,Dwayne McClain,0,198,84,3659,643,1119,0,0,258,349,0,438,0,133,50,256,338,1544,0,0
1985,28,Ken Johnson,0,203,109,1495,305,573,0,0,121,227,0,646,0,18,96,91,117,731,0,0
1985,29,Mike Brittain,0,213,107,2096,294,658,0,0,176,251,0,505,0,22,160,172,308,764,0,0
1986,1,Brad Daugherty,1,213,111,3973,760,1226,0,1,392,560,0,1003,214,92,146,290,402,1912,1,1
1986,3,Chris Washburn,0,211,102,1366,273,496,0,0,128,202,0,270,0,36,38,99,80,674,0,0
1986,4,Chuck Person,0,203,100,4133,1017,1899,0,0,277,366,0,940,174,124,44,269,280,2311,0,1
1986,5,Kenny Walker,0,203,95,4079,765,1339,0,0,550,733,0,942,50,118,122,183,327,2080,0,0
1986,6,William Bedford,0,213,102,2821,514,906,0,0,196,313,0,675,67,32,234,148,234,1224,0,0
1986,7,Roy Tarpley,0,211,104,2995,629,1205,0,0,343,443,0,953,122,103,251,258,321,1601,0,1
1986,8,Ron Harper,0,198,84,4164,969,1814,0,0,439,684,0,1119,338,287,175,335,342,2377,0,1
1986,9,Brad Sellers,0,213,95,4186,776,1569,0,1,408,517,0,1153,156,113,307,294,362,1960,0,0
1986,10,Johnny Dawkins,0,188,75,4749,1026,2019,19,54,485,614,0,536,555,168,24,414,270,2556,0,1
1986,11,John Salley,0,211,104,4197,595,1013,0,0,397,627,0,798,319,97,243,247,397,1587,0,0
1986,12,John Williams,0,203,107,2212,432,845,0,0,182,236,0,503,207,85,32,169,197,1046,0,1
1986,13,Pearl Washington,0,188,86,3198,570,1083,0,0,350,480,0,253,0,220,6,355,266,1490,0,0
1986,14,Walter Berry,0,203,98,2518,558,961,0,0,308,435,0,703,0,59,121,196,184,1424,0,0
1986,15,Dell Curry,0,193,86,4275,1021,2022,4,7,343,437,0,610,407,295,80,388,333,2389,0,0
1986,16,Maurice Martin,0,198,91,3776,665,1289,0,0,373,506,0,622,0,248,75,110,392,1726,0,0
1986,17,Harold Pressley,0,201,95,4286,612,1255,0,0,348,501,0,1016,0,0,0,0,0,1572,0,0
1986,18,Mark Alarie,0,203,98,4042,828,1505,0,2,480,602,0,833,152,121,104,268,387,2136,0,0
1986,19,Billy Thompson,0,201,88,4065,651,1233,0,0,383,533,0,928,459,108,185,475,430,1685,0,0
1986,20,Buck Johnson,1,201,86,4130,731,1353,0,0,407,551,0,933,160,121,115,318,370,1869,0,1
1986,21,Anthony Jones,0,198,88,3382,647,1277,0,0,188,300,0,535,0,186,59,207,262,1533,0,0
1986,22,Scott Skiles,1,185,82,4285,837,1623,25,50,446,525,0,353,645,175,3,442,315,2145,0,1
1986,24,Arvydas Sabonis,1,221,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1986,25,Mark Price,1,183,77,4604,848,1740,73,166,424,499,0,331,510,240,11,339,248,2193,1,1
1986,26,Greg Dreiling,0,216,113,3294,556,979,0,0,331,453,0,771,144,48,173,266,419,1443,0,0
1986,27,Dennis Rodman,1,201,95,0,988,1550,0,0,489,783,0,1507,61,131,123,283,304,2465,1,1
1986,28,Larry Krystkowiak,0,206,100,3661,699,1247,0,0,619,784,0,1105,133,96,28,219,251,2017,0,0
1986,29,Johnny Newman,1,201,86,4203,933,1755,0,0,517,646,0,668,121,145,84,264,347,2383,0,1
1986,30,Nate McMillan,1,196,88,2181,221,469,0,0,130,185,0,344,402,149,62,184,180,572,0,1
1987,1,David Robinson,1,216,107,3741,1032,1683,1,1,604,964,0,1314,84,158,516,261,350,2669,1,1
1987,2,Armen Gilliam,0,206,104,3302,716,1235,0,0,423,594,0,890,58,122,91,196,263,1855,0,1
1987,3,Dennis Hopson,0,196,91,3611,796,1534,67,160,437,551,0,712,258,164,59,276,227,2096,0,0
1987,4,Reggie Williams,0,201,86,4025,809,1651,78,202,421,548,0,886,327,206,66,312,377,2117,0,1
1987,5,Scottie Pippen,1,203,95,0,637,1131,23,40,303,436,0,749,253,193,0,291,261,1600,1,1
1987,6,Kenny Smith,0,190,77,4218,628,1226,87,213,293,356,0,283,768,195,6,373,185,1636,0,1
1987,7,Kevin Johnson,1,185,82,3814,601,1259,48,124,405,535,0,423,521,0,0,0,0,1655,1,1
1987,8,Olden Polynice,0,211,100,3035,442,765,0,0,267,436,0,667,52,25,86,220,223,1151,0,1
1987,9,Derrick McKey,0,206,93,3044,499,860,21,50,212,266,0,643,132,73,188,177,270,1231,0,1
1987,10,Horace Grant,1,208,98,3363,660,1104,1,2,375,533,0,981,206,104,82,220,337,1696,1,1
1987,11,Reggie Miller,1,201,84,3836,769,1405,69,157,488,584,0,509,247,158,22,218,262,2095,1,1
1987,12,Muggsy Bogues,0,160,62,3568,386,816,35,79,179,239,0,290,781,275,4,297,277,986,0,1
1987,13,Joe Wolf,0,211,104,3185,511,928,23,40,186,243,0,707,243,84,39,207,279,1231,0,0
1987,14,Tellis Frank,0,208,102,0,525,1088,0,0,273,384,0,664,187,99,59,235,367,1323,0,0
1987,15,Jose Ortiz,0,208,102,1865,385,691,0,0,258,367,0,450,0,49,73,132,141,1029,0,0
1987,16,Chris Welp,0,213,111,4114,820,1440,0,0,433,600,0,995,0,109,186,314,463,2073,0,0
1987,17,Ronnie Murphy,0,196,102,3867,770,1699,0,0,328,443,0,543,0,205,79,345,306,1937,0,0
1987,18,Mark Jackson,1,185,82,3980,465,912,49,117,349,465,0,338,738,172,26,299,219,1328,1,1
1987,19,Ken Norman,1,203,98,2589,558,916,1,4,276,375,0,636,126,70,89,164,170,1393,0,1
