Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
2010,14,Patrick Patterson,0,206,104,1255,617,1054,24,73,306,417,116,791,146,69,152,159,61,1564,0,0
2010,15,Larry Sanders,1,211,107,941,415,798,4,16,210,364,106,776,51,59,277,155,103,1044,0,1
2010,16,Luke Babbitt,0,206,102,1260,445,927,75,178,351,393,70,554,119,59,51,146,87,1316,0,0
#2010,17,Kevin Seraphin,0,206,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,18,Eric Bledsoe,1,185,93,1122,144,312,49,128,82,123,19,114,107,52,12,112,82,419,0,1
2010,19,Avery Bradley,1,188,82,1003,159,368,42,112,36,66,33,98,71,44,18,52,80,396,0,1
2010,20,James Anderson,0,198,97,1124,583,1268,225,600,420,527,64,513,163,112,60,212,88,1811,0,0
2010,21,Craig Brackins,0,208,104,1124,572,1285,69,236,326,449,67,736,153,52,99,196,64,1539,0,0
2010,22,Elliot Williams,0,196,86,1133,234,515,69,200,217,302,25,212,151,66,5,129,69,754,0,0
2010,23,Trevor Booker,0,203,103,984,687,1228,23,71,328,526,89,1060,224,144,249,189,63,1725,0,0
2010,24,Damion James,0,201,102,1029,705,1473,103,283,404,631,107,1318,163,137,163,207,100,1917,0,0
2010,25,Dominique Jones,0,193,98,1224,592,1339,160,495,453,615,37,517,328,144,39,249,93,1797,0,0
2010,26,Quincy Pondexter,0,201,100,1162,652,1297,54,165,428,557,107,757,230,107,45,193,90,1786,0,0
2010,27,Jordan Crawford,0,193,88,1147,367,806,109,284,166,217,34,267,170,75,13,143,57,1009,0,0
2010,28,Greivis Vasquez,0,198,98,1120,751,1769,230,699,439,530,38,647,772,191,39,358,69,2171,0,0
2010,29,Daniel Orton,0,208,116,502,48,91,0,2,33,63,45,126,15,21,53,38,88,129,0,0
